Average Income - Female (copy)	Average Income - Female	Average Income - Male	Difference	1	% of Total	Difference in Income	Female to Male Income	Number of Records	Occupation
47333	47333	44480	-2853	1	106%	-2853	1.064141187	1	Legal secretary General clerical workers
52044	52044	67479	15435	1	77%	15435	0.771262170	1	Liaison officer
59553	59553	67121	7568	1	89%	7568	0.887248402	1	Librarian
36813	36813	33271	-3542	1	111%	-3542	1.106459078	1	Library assistant
44307	44307	50338	6031	1	88%	6031	0.880189916	1	Library officer; Library technician
43270	43270	51376	8106	1	84%	8106	0.842222049	1	Life science technician
24334	24334	29329	4995	1	83%	4995	0.829690750	1	Lifeguard; Swimming pool attendant – lifeguard
48968	48968	89590	40622	1	55%	40622	0.546578859	1	Lift mechanic
41936	41936	53925	11989	1	78%	11989	0.777672694	1	Lighting technician
32896	32896	57375	24479	1	57%	24479	0.573350763	1	Linemarker
27282	27282	39880	12598	1	68%	12598	0.684102307	1	Livestock and mixed crop farm worker
41088	41088	51862	10774	1	79%	10774	0.792256373	1	Locksmith
26170	26170	46975	20805	1	56%	20805	0.557104843	1	Logging assistant; Saw operator – chainsaw
57886	57886	67647	9761	1	86%	9761	0.855706831	1	Logging plant operator
260161	260161	246737	-13424	1	105%	-13424	1.054406109	1	Magistrate
40618	40618	47799	7181	1	85%	7181	0.849766732	1	Mail clerk
34490	34490	43305	8815	1	80%	8815	0.796443829	1	Mailing service hand or labourer; Rag cutter
77766	77766	87844	10078	1	89%	10078	0.885273895	1	Maintenance planner
34466	34466	42689	8223	1	81%	8223	0.807374265	1	Make-up artist
80298	80298	102563	22265	1	78%	22265	0.782913916	1	Management accountant
43322	43322	59302	15980	1	73%	15980	0.730531854	1	Manager – grocery – supermarket; Retail supervisor
94463	94463	109113	14650	1	87%	14650	0.865735522	1	Manufacturing company manager; Publishing director
55762	55762	88790	33028	1	63%	33028	0.628021174	1	Marine biologist
79762	79762	107488	27726	1	74%	27726	0.742054927	1	Marine certification and surveillance manager; Marine safety officer; Ship’s purser
86495	86495	127098	40603	1	68%	40603	0.680537853	1	Marine engineer
54757	54757	111025	56268	1	49%	56268	0.493195226	1	Marine engineer surveyor
90354	90354	133263	42909	1	68%	42909	0.678012652	1	Marine navigator; Ship’s officer
73593	73593	88468	14875	1	83%	14875	0.831860108	1	Marine steward; Railway employee – steward
34510	34510	48390	13880	1	71%	13880	0.713163877	1	Market gardener – vegetables; Vegetable grower
62284	62284	81170	18886	1	77%	18886	0.767327830	1	Market research analyst
27108	27108	26406	-702	1	103%	-702	1.026584867	1	Market research interviewer
24798	24798	29328	4530	1	85%	4530	0.845540098	1	Massage therapist; Masseur or masseuse – therapeutic, remedial; Myotherapist
83428	83428	75589	-7839	1	110%	-7839	1.103705566	1	Master fisher
74623	74623	100648	26025	1	74%	26025	0.741425562	1	Materials engineer
41919	41919	46217	4298	1	91%	4298	0.907003916	1	Materials recycler; Motor vehicle wrecker; Scrap merchant
73564	73564	93319	19755	1	79%	19755	0.788306776	1	Mathematician
39347	39347	45663	6316	1	86%	6316	0.861682325	1	Meat boner and slicer; Saw operator – meat
49275	49275	68097	18822	1	72%	18822	0.723600159	1	Meat inspector
34581	34581	32935	-1646	1	105%	-1646	1.049977228	1	Meat packer
33034	33034	47826	14792	1	69%	14792	0.690712165	1	Mechanic’s assistant
82251	82251	101753	19502	1	81%	19502	0.808339803	1	Mechanical engineer
57394	57394	74778	17384	1	77%	17384	0.767525208	1	Mechanical engineering draftsperson
63914	63914	86556	22642	1	74%	22642	0.738412126	1	Mechanical engineering technician or associate
47743	47743	80387	32644	1	59%	32644	0.593914439	1	Medical administrator
63736	63736	83778	20042	1	76%	20042	0.760772518	1	Medical laboratory scientist
45356	45356	54240	8884	1	84%	8884	0.836209440	1	Medical laboratory technician
208612	208612	322178	113566	1	65%	113566	0.647505416	1	Medical oncologist
80538	80538	105099	24561	1	77%	24561	0.766306054	1	Medical physicist; Physicist
61648	61648	74629	12981	1	83%	12981	0.826059575	1	Medical radiation therapist
37281	37281	31012	-6269	1	120%	-6269	1.202147556	1	Medical receptionist; Medical secretary
49922	49922	69394	19472	1	72%	19472	0.719399372	1	Medical technician – other
173331	173331	232093	58762	1	75%	58762	0.746817009	1	Member of parliament
31696	31696	43720	12024	1	72%	12024	0.724977127	1	Merchandiser; Sales demonstrator
44237	44237	62357	18120	1	71%	18120	0.709415142	1	Metal machinist; Turner – metal
40875	40875	45877	5002	1	89%	5002	0.890969331	1	Metal polisher
68670	68670	95652	26982	1	72%	26982	0.717914942	1	Metallurgical and materials technician
110359	110359	143760	33401	1	77%	33401	0.767661380	1	Metallurgist
88232	88232	106848	18616	1	83%	18616	0.825771189	1	Meteorologist
32961	32961	39943	6982	1	83%	6982	0.825200911	1	Meter reader
62346	62346	78867	16521	1	79%	16521	0.790520750	1	Microbiologist
59604	59604	67925	8321	1	88%	8321	0.877497240	1	Middle school teacher
57933	57933	71843	13910	1	81%	13910	0.806383364	1	Midwife
51794	51794	52964	1170	1	98%	1170	0.977909523	1	Migration agent
37582	37582	46538	8956	1	81%	8956	0.807555116	1	Miller – timber; Sawmilling operator
54795	54795	48067	-6728	1	114%	-6728	1.139971290	1	Miller – tyres; Tyre retreader
102266	102266	154741	52475	1	66%	52475	0.660884963	1	Mine deputy; Mine supervisor
95694	95694	109236	13542	1	88%	13542	0.876029880	1	Mining blasting worker; Powder monkey; Shot firer
119564	119564	168659	49095	1	71%	49095	0.708909694	1	Mining engineer
72085	72085	91698	19613	1	79%	19613	0.786113110	1	Mining labourer
133061	133061	179439	46378	1	74%	46378	0.741538907	1	Mining production manager
28517	28517	29166	649	1	98%	649	0.977748063	1	Model
28024	28024	60735	32711	1	46%	32711	0.461414341	1	Model maker – metal
